iter	Passed	Remaining
0	10	10434
1	11	5600
2	11	3962
3	12	3125
4	13	2684
5	14	2379
6	15	2169
7	16	2048
8	17	1924
9	18	1813
10	19	1723
11	20	1663
12	21	1597
13	21	1548
14	22	1502
15	23	1454
16	24	1406
17	25	1363
18	25	1321
19	26	1291
20	27	1262
21	27	1242
22	28	1224
23	29	1211
24	30	1204
25	32	1203
26	33	1196
27	34	1197
28	35	1181
29	35	1162
30	36	1149
31	37	1134
32	38	1119
33	38	1105
34	39	1091
35	40	1077
36	40	1061
37	41	1047
38	41	1033
39	42	1025
40	43	1021
41	45	1026
42	46	1024
43	47	1021
44	47	1016
45	48	1011
46	49	1008
47	50	997
48	51	990
49	51	981
50	52	972
51	52	962
52	53	953
53	53	944
54	54	937
55	55	929
56	55	921
57	56	916
58	57	913
59	58	911
60	59	913
61	60	909
62	60	904
63	61	903
64	62	901
65	63	897
66	64	892
67	64	886
68	65	880
69	65	874
70	66	868
71	66	862
72	67	856
73	68	851
74	68	845
75	69	841
76	69	836
77	70	832
78	71	828
79	71	825
80	72	824
81	73	821
82	73	815
83	74	814
84	75	815
85	76	815
86	77	816
87	78	813
88	79	809
89	79	805
90	80	801
91	80	798
92	81	796
93	82	793
94	82	790
95	83	787
96	84	783
97	84	780
98	85	776
99	85	772
100	86	769
101	87	768
102	88	769
103	89	773
104	90	773
105	91	773
106	92	771
107	93	770
108	94	770
109	94	768
110	95	765
111	96	761
112	96	759
113	97	755
114	97	752
115	98	749
116	98	746
117	99	743
118	100	741
119	100	739
120	101	737
121	102	735
122	103	736
123	104	736
124	105	736
125	106	736
126	107	738
127	108	738
128	109	737
129	109	735
130	110	732
131	111	730
132	111	727
133	112	724
134	112	723
135	113	721
136	114	719
137	114	716
138	115	714
139	115	712
140	116	711
141	117	708
142	118	708
143	120	713
144	121	713
145	122	714
146	122	713
147	123	713
148	124	712
149	125	711
150	126	710
151	126	708
152	127	706
153	128	703
154	128	700
155	129	698
156	129	696
157	130	694
158	130	692
159	131	691
160	132	689
161	133	689
162	134	690
163	135	690
164	136	690
165	137	689
166	138	688
167	139	689
168	139	687
169	140	685
170	140	683
171	141	681
172	142	679
173	142	677
174	143	675
175	143	673
176	144	672
177	145	671
178	145	669
179	146	668
180	147	667
181	148	668
182	149	667
183	150	666
184	151	668
185	152	667
186	153	666
187	154	665
188	154	663
189	155	661
190	155	659
191	156	658
192	157	657
193	157	656
194	158	654
195	159	652
196	159	650
197	160	648
198	160	647
199	161	646
200	162	646
201	163	646
202	164	645
203	165	645
204	166	644
205	166	643
206	167	642
207	168	641
208	169	641
209	170	640
210	170	639
211	171	637
212	172	635
213	172	634
214	173	632
215	173	630
216	174	629
217	174	627
218	175	625
219	176	625
220	177	625
221	178	624
222	179	624
223	180	623
224	181	626
225	182	625
226	183	625
227	184	623
228	184	622
229	185	620
230	185	618
231	186	617
232	187	617
233	188	615
234	188	614
235	189	613
236	189	611
237	190	610
238	191	609
239	192	609
240	193	609
241	194	609
242	195	608
243	196	607
244	196	606
245	197	606
246	198	605
247	199	603
248	199	603
249	200	602
250	201	601
251	202	599
252	202	598
253	203	596
254	203	595
255	204	593
256	205	592
257	205	591
258	206	591
259	207	590
260	208	590
261	209	589
262	210	588
263	210	587
264	211	586
265	211	584
266	212	583
267	213	583
268	214	582
269	214	581
270	215	579
271	216	578
272	216	577
273	217	575
274	217	574
275	218	573
276	219	572
277	220	571
278	221	571
279	221	570
280	222	570
281	223	569
282	224	568
283	225	568
284	226	568
285	227	567
286	227	566
287	228	564
288	229	563
289	229	562
290	230	560
291	230	559
292	231	558
293	232	558
294	233	556
295	233	555
296	234	554
297	234	552
298	235	551
299	236	551
300	237	552
301	239	552
302	240	552
303	240	551
304	241	550
305	242	549
306	242	548
307	243	547
308	244	546
309	244	545
310	245	543
311	246	542
312	246	541
313	247	540
314	247	538
315	248	537
316	248	536
317	249	535
318	250	535
319	251	534
320	252	533
321	253	532
322	253	531
323	254	530
324	255	529
325	255	528
326	256	527
327	257	527
328	257	526
329	258	524
330	259	523
331	259	522
332	260	521
333	260	519
334	261	518
335	261	517
336	262	517
337	263	515
338	264	515
339	264	513
340	265	512
341	266	512
342	266	511
343	267	510
344	268	509
345	268	508
346	270	508
347	270	507
348	271	506
349	271	504
350	272	503
351	272	502
352	273	501
353	274	500
354	274	498
355	275	497
356	275	496
357	276	496
358	277	495
359	277	494
360	278	492
361	279	491
362	279	490
363	280	489
364	281	489
365	282	488
366	282	487
367	283	487
368	284	486
369	285	485
370	286	484
371	286	484
372	287	482
373	288	482
374	288	481
375	289	480
376	289	479
377	290	478
378	291	477
379	291	476
380	292	474
381	292	473
382	293	472
383	293	471
384	294	471
385	295	470
386	296	469
387	297	469
388	298	468
389	299	467
390	299	467
391	300	466
392	301	466
393	302	465
394	303	464
395	303	463
396	304	462
397	304	461
